frame,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
30,365.39,111.56,427.79,190.94,296.09,188.37,436.96,287.45,275.08,281.08,445.17,376.91,279.81,373.57,404.76,379.5,317.0,379.5,-1,-1,-1,-1,-1,-1,-1,-1
31,361.13,111.44,423.41,190.7,292.57,188.83,434.11,285.55,272.65,280.64,443.35,376.46,277.61,368.86,403.21,377.29,316.25,377.68,-1,-1,-1,-1,-1,-1,-1,-1
32,358.45,113.87,418.64,188.64,293.06,187.75,431.33,286.76,271.96,280.56,436.92,374.27,277.42,365.65,397.81,371.22,316.11,372.37,-1,-1,-1,-1,-1,-1,-1,-1
33,355.55,114.9,414.99,191.88,290.43,190.17,426.17,290.1,270.45,282.49,430.39,372.87,277.68,370.9,395.14,369.84,314.44,370.86,-1,-1,-1,-1,-1,-1,-1,-1
34,352.71,117.25,412.55,190.71,288.2,189.8,423.21,290.16,269.06,283.3,427.54,372.09,276.18,371.03,393.54,370.79,312.33,372.22,-1,-1,-1,-1,-1,-1,-1,-1
35,350.49,118.28,410.09,191.81,286.69,190.59,420.36,289.5,268.73,283.09,424.76,370.5,274.57,367.32,392.7,370.96,311.86,372.28,-1,-1,-1,-1,-1,-1,-1,-1
36,349.54,120.01,406.72,192.26,285.7,190.27,418.19,288.67,267.79,281.93,423.5,369.46,275.83,366.99,389.34,367.4,310.27,368.53,-1,-1,-1,-1,-1,-1,-1,-1
37,348.11,120.43,405.44,191.8,284.21,190.53,417.77,286.74,266.51,281.28,422.44,369.16,276.72,365.16,388.41,368.43,309.39,369.9,-1,-1,-1,-1,-1,-1,-1,-1
38,347.2,121.07,406.32,192.76,282.05,192.31,419.02,283.75,266.4,280.36,423.54,370.05,275.01,365.06,386.08,369.9,305.39,370.85,-1,-1,-1,-1,-1,-1,-1,-1
39,346.11,123.21,404.66,193.39,280.65,192.17,416.71,284.15,265.64,279.82,421.89,370.15,275.18,363.21,384.06,370.03,303.86,370.67,-1,-1,-1,-1,-1,-1,-1,-1
40,345.74,123.39,403.94,193.69,280.66,192.83,415.97,282.44,264.83,278.39,420.39,367.53,274.32,358.56,384.38,370.33,304.52,371.22,-1,-1,-1,-1,-1,-1,-1,-1
41,345.55,124.01,403.3,193.13,280.88,192.08,415.69,281.08,265.2,276.48,418.29,364.88,274.44,355.97,382.62,368.44,303.9,369.0,-1,-1,-1,-1,-1,-1,-1,-1
42,345.32,123.8,402.34,192.86,281.4,192.87,414.6,279.31,265.21,276.25,416.88,364.57,273.71,354.32,381.6,365.48,304.28,366.43,-1,-1,-1,-1,-1,-1,-1,-1
43,345.31,123.75,401.26,192.14,281.64,191.77,413.08,279.32,265.66,275.42,415.42,363.67,273.35,352.15,380.87,364.87,304.51,365.7,-1,-1,-1,-1,-1,-1,-1,-1
44,345.01,124.18,399.74,191.5,284.05,190.69,411.86,282.17,267.2,277.88,412.97,369.34,275.81,350.11,380.89,364.25,307.05,365.21,-1,-1,-1,-1,-1,-1,-1,-1
45,345.25,124.59,400.51,193.82,282.11,191.99,410.99,282.57,266.38,276.72,414.91,369.01,273.9,355.34,378.47,365.44,302.92,365.53,-1,-1,-1,-1,-1,-1,-1,-1
46,345.45,125.03,400.74,193.55,282.32,191.53,411.3,282.84,267.36,277.59,415.76,367.72,274.69,355.71,379.26,365.25,303.74,365.31,-1,-1,-1,-1,-1,-1,-1,-1
47,345.65,125.15,401.16,193.97,283.38,192.43,411.72,283.72,269.5,279.38,418.25,367.46,275.3,356.8,378.85,366.96,303.79,367.19,-1,-1,-1,-1,-1,-1,-1,-1
