frame,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
129,374.35,126.18,431.02,195.66,313.33,194.05,444.37,288.97,290.5,283.04,449.41,376.12,289.45,373.21,404.43,369.43,329.03,369.07,-1,-1,336.58,479.43,-1,-1,-1,-1
130,374.24,126.0,430.66,194.39,310.74,193.32,442.52,286.23,288.53,281.79,450.46,368.99,287.27,368.34,403.93,372.22,326.8,372.14,-1,-1,330.99,480.0,-1,-1,-1,-1
131,373.51,125.9,431.01,194.82,310.15,193.22,442.58,287.6,286.79,282.51,451.06,371.54,283.25,371.41,404.18,375.11,326.05,374.77,-1,-1,-1,-1,-1,-1,-1,-1
132,373.07,125.12,430.8,194.47,309.23,192.43,442.49,287.1,285.43,281.6,450.66,372.3,278.54,369.56,404.57,374.64,326.04,374.02,-1,-1,-1,-1,-1,-1,-1,-1
133,373.06,124.02,431.85,194.23,308.37,191.44,444.31,287.4,284.13,279.54,452.0,373.37,275.85,364.53,405.02,374.11,324.32,373.01,-1,-1,-1,-1,-1,-1,-1,-1
134,372.33,123.27,432.64,194.17,307.31,190.93,444.8,288.62,283.13,280.31,453.72,375.93,273.48,371.1,405.66,376.38,322.69,375.22,-1,-1,-1,-1,-1,-1,-1,-1
135,372.12,121.16,432.42,193.58,305.26,189.71,444.15,287.98,280.25,278.32,453.57,377.39,270.51,373.24,404.32,377.55,319.5,376.11,-1,-1,-1,-1,-1,-1,-1,-1
136,371.62,119.74,432.37,192.78,303.82,189.17,446.05,292.31,274.89,280.66,452.54,385.58,263.96,376.3,402.22,379.24,317.28,378.03,-1,-1,-1,-1,-1,-1,-1,-1
137,370.32,118.6,430.03,191.02,300.24,188.84,444.06,292.16,270.25,285.28,450.01,385.29,261.92,380.42,400.91,383.88,314.09,383.36,-1,-1,-1,-1,-1,-1,-1,-1
138,368.45,117.55,429.01,191.43,296.37,188.99,440.38,290.83,264.74,286.01,452.42,382.69,254.51,381.61,401.65,387.67,311.72,387.46,-1,-1,-1,-1,-1,-1,-1,-1
139,365.23,112.8,429.84,189.11,294.22,187.47,443.36,292.63,261.16,286.22,449.4,390.31,250.3,383.61,397.81,386.95,307.69,386.31,-1,-1,-1,-1,-1,-1,-1,-1
140,362.07,109.93,425.53,189.36,290.9,188.86,439.95,290.67,256.17,291.44,450.0,386.2,239.96,389.85,398.5,386.91,307.78,386.88,-1,-1,-1,-1,-1,-1,-1,-1
141,360.43,106.24,425.58,187.99,290.33,187.1,437.68,290.5,253.67,287.86,447.92,384.17,240.84,388.73,396.49,392.44,304.02,391.87,-1,-1,-1,-1,-1,-1,-1,-1
142,358.9,103.9,423.42,188.5,286.57,186.96,435.54,293.8,250.64,291.02,447.02,389.96,236.11,392.85,395.66,392.96,302.08,392.48,-1,-1,-1,-1,-1,-1,-1,-1
143,358.44,99.54,424.33,188.72,282.64,188.32,437.21,298.42,247.91,296.3,442.75,396.39,229.39,400.03,392.22,397.09,297.39,396.64,-1,-1,-1,-1,-1,-1,-1,-1
144,356.78,99.56,424.08,185.31,282.26,183.87,435.8,301.12,245.33,295.93,440.43,401.02,223.13,405.85,394.23,406.12,299.16,405.4,-1,-1,-1,-1,-1,-1,-1,-1
145,355.76,96.29,424.73,185.78,276.48,184.65,435.57,303.63,236.21,300.36,438.42,405.11,221.3,406.8,393.19,411.07,292.57,410.29,-1,-1,-1,-1,-1,-1,-1,-1
146,355.36,93.51,424.26,184.7,273.59,183.26,436.54,305.4,232.98,301.09,436.47,412.5,217.77,408.57,392.93,414.86,290.09,413.85,-1,-1,-1,-1,-1,-1,-1,-1
147,355.69,90.37,423.94,183.32,270.52,180.82,436.36,306.06,229.07,300.36,436.87,415.14,216.81,409.08,393.68,416.75,289.56,416.01,-1,-1,-1,-1,-1,-1,-1,-1
148,355.56,86.21,424.49,180.51,270.45,179.11,437.17,304.35,227.49,300.76,437.63,416.12,214.82,409.86,391.04,415.43,285.99,414.7,-1,-1,-1,-1,-1,-1,-1,-1
149,355.7,83.09,425.29,179.41,269.15,176.39,435.81,305.09,225.75,299.77,437.51,418.47,213.47,412.16,389.93,420.12,283.41,418.36,-1,-1,-1,-1,-1,-1,-1,-1
150,356.07,79.08,427.87,176.63,268.06,175.46,440.31,302.02,223.86,301.9,438.38,413.28,213.29,418.29,390.7,420.46,282.26,419.42,-1,-1,-1,-1,-1,-1,-1,-1
151,356.8,76.39,428.18,175.35,268.87,175.68,442.71,301.24,223.39,304.3,444.48,407.63,214.62,423.06,395.8,418.13,286.36,418.9,-1,-1,-1,-1,-1,-1,-1,-1
152,359.35,72.96,430.16,173.1,270.15,173.55,446.97,300.23,220.66,305.03,449.37,403.25,212.6,425.49,399.95,421.17,287.29,423.0,-1,-1,-1,-1,-1,-1,-1,-1
153,361.32,68.96,434.05,173.6,271.11,172.65,452.11,300.68,220.64,306.92,456.52,405.53,211.39,432.49,406.18,428.25,290.48,428.6,-1,-1,-1,-1,-1,-1,-1,-1
154,364.28,66.07,437.83,171.18,272.56,169.96,456.84,303.32,221.14,311.13,455.82,406.24,206.31,448.94,411.63,431.09,293.52,431.15,-1,-1,-1,-1,-1,-1,-1,-1
155,366.88,62.26,444.74,169.44,273.61,167.91,464.0,304.85,222.33,311.37,461.44,410.8,203.52,455.48,419.57,438.6,298.19,438.62,-1,-1,-1,-1,-1,-1,-1,-1
156,370.87,56.08,449.93,166.37,275.7,165.78,472.42,303.14,225.37,305.96,475.44,413.56,211.01,434.28,420.27,439.31,298.37,440.79,-1,-1,-1,-1,-1,-1,-1,-1
157,373.07,50.33,457.86,163.78,278.44,162.57,481.62,304.16,227.58,306.62,474.94,417.68,209.31,442.87,423.38,442.94,297.89,443.24,-1,-1,-1,-1,-1,-1,-1,-1
158,380.29,42.5,463.4,160.35,277.96,158.07,487.9,304.73,229.01,303.85,480.25,418.84,213.92,447.12,432.4,449.12,304.32,448.72,-1,-1,-1,-1,-1,-1,-1,-1
159,383.28,34.19,471.6,159.8,279.36,159.1,500.64,303.26,230.83,306.17,492.4,425.92,207.42,453.91,437.09,454.47,304.46,454.01,-1,-1,-1,-1,-1,-1,-1,-1
160,385.78,27.18,476.35,154.44,277.28,157.56,508.21,296.02,229.85,313.91,506.04,427.59,205.61,467.9,440.68,453.87,301.46,455.17,-1,-1,-1,-1,-1,-1,-1,-1
161,390.29,20.54,484.28,153.22,276.74,158.3,509.8,298.16,229.88,322.74,512.48,427.6,204.37,473.06,452.74,451.09,306.6,453.54,-1,-1,-1,-1,-1,-1,-1,-1
162,393.74,17.25,493.34,152.17,279.55,159.65,519.12,302.12,230.41,328.49,518.65,434.0,201.98,479.51,465.09,452.53,314.62,455.71,-1,-1,-1,-1,-1,-1,-1,-1
163,396.73,11.47,499.53,150.71,280.53,158.41,528.93,304.41,230.55,328.61,537.23,440.54,201.66,480.0,472.34,447.15,320.89,449.99,-1,-1,-1,-1,-1,-1,-1,-1
164,399.67,6.56,507.85,145.05,282.06,157.37,538.63,305.1,231.37,334.0,542.56,446.59,205.77,480.0,485.02,449.04,328.69,453.8,-1,-1,-1,-1,-1,-1,-1,-1
165,404.14,3.87,512.7,143.56,283.49,155.38,547.49,311.29,231.13,339.31,544.29,446.66,202.11,480.0,488.7,454.06,332.19,457.58,-1,-1,-1,-1,-1,-1,-1,-1
166,403.73,4.38,518.75,145.0,280.67,155.42,553.25,321.17,229.13,345.41,564.17,454.85,202.93,480.0,-1,-1,330.87,460.74,-1,-1,-1,-1,-1,-1,-1,-1
167,410.39,10.46,516.67,136.83,282.07,148.66,553.9,316.86,231.76,345.72,563.61,460.41,213.91,478.92,496.48,456.82,337.07,463.3,-1,-1,-1,-1,-1,-1,-1,-1
168,411.42,5.68,527.04,139.19,281.81,147.92,559.79,331.12,232.27,350.63,573.89,463.57,214.55,477.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
169,411.49,10.2,531.27,137.47,283.66,145.69,569.72,324.28,232.77,344.18,580.37,454.91,215.79,473.56,-1,-1,336.48,464.69,-1,-1,-1,-1,-1,-1,-1,-1
170,418.9,3.7,533.38,136.8,284.57,140.91,574.29,330.54,234.81,340.99,588.43,460.99,214.42,473.79,-1,-1,338.49,462.9,-1,-1,-1,-1,-1,-1,-1,-1
171,415.3,7.62,535.97,136.43,283.93,139.67,577.98,331.67,233.09,337.87,587.59,463.97,213.23,473.28,505.95,463.19,338.61,464.54,-1,-1,-1,-1,-1,-1,-1,-1
172,421.09,10.39,536.08,131.71,286.14,135.58,581.93,322.44,232.52,328.94,579.9,465.81,208.25,466.45,503.3,460.56,336.55,461.77,-1,-1,-1,-1,-1,-1,-1,-1
173,423.74,1.71,543.48,132.97,280.37,140.22,593.87,320.03,227.9,334.66,584.9,463.42,208.46,476.72,506.28,460.09,328.3,462.74,-1,-1,-1,-1,-1,-1,-1,-1
174,422.53,1.3,545.25,134.57,277.04,142.31,595.33,327.98,225.41,341.67,589.15,470.4,212.35,479.85,507.4,459.89,326.23,462.99,-1,-1,-1,-1,-1,-1,-1,-1
175,422.43,1.45,546.82,137.52,276.23,140.54,591.42,340.05,226.24,342.12,596.57,473.33,214.33,474.63,-1,-1,322.58,468.35,-1,-1,-1,-1,-1,-1,-1,-1
176,428.09,17.7,543.4,143.09,284.38,138.79,580.5,346.66,229.91,337.89,581.63,472.83,212.8,470.19,-1,-1,332.15,463.32,-1,-1,-1,-1,-1,-1,-1,-1
177,425.15,15.29,547.8,143.77,282.93,138.63,579.87,351.15,229.2,342.32,583.44,473.16,213.48,471.54,-1,-1,324.24,465.1,-1,-1,-1,-1,-1,-1,-1,-1
178,425.36,17.03,550.22,147.79,282.81,140.45,579.97,359.29,229.05,345.95,580.43,471.36,217.6,467.34,-1,-1,320.95,465.59,-1,-1,-1,-1,-1,-1,-1,-1
179,430.66,12.96,553.26,148.93,281.93,141.17,582.85,366.45,228.53,351.53,576.61,475.86,217.39,475.05,-1,-1,319.98,467.46,-1,-1,-1,-1,-1,-1,-1,-1
180,429.57,12.43,557.56,150.51,281.73,138.96,580.59,378.08,228.42,354.76,578.38,471.52,216.43,474.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
181,434.81,8.76,557.94,147.08,279.06,139.93,583.01,373.18,228.31,359.42,-1,-1,214.18,475.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,432.46,6.27,560.67,149.27,275.98,141.67,583.0,379.11,226.36,362.96,-1,-1,216.26,473.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
183,435.06,6.24,561.11,151.27,276.41,142.68,583.18,378.65,226.37,361.63,-1,-1,214.77,473.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,431.71,8.34,560.91,152.35,275.84,144.36,582.38,377.7,226.82,362.73,-1,-1,215.28,473.91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
185,430.99,7.42,563.16,154.66,273.04,146.06,581.85,381.32,224.02,364.93,-1,-1,214.09,472.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,431.56,9.92,562.96,151.88,274.54,143.79,581.95,383.06,225.67,367.17,-1,-1,214.71,475.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
187,428.79,11.08,562.2,154.87,275.14,145.38,584.37,386.96,226.03,367.82,-1,-1,208.94,475.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
188,425.3,6.44,562.35,153.79,273.51,144.52,586.11,387.54,222.66,367.51,-1,-1,209.65,472.59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,424.97,9.17,557.58,152.09,276.25,140.31,581.44,384.83,223.54,362.29,572.52,475.63,214.63,473.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,425.59,9.88,557.88,153.23,272.57,141.37,577.72,391.07,223.0,367.4,-1,-1,214.23,474.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,426.05,11.11,553.7,149.03,271.02,139.27,580.63,384.03,221.74,365.73,-1,-1,213.99,470.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,425.27,8.51,551.66,144.65,270.31,135.84,579.15,375.93,221.77,361.9,-1,-1,210.93,477.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
193,424.05,9.04,550.01,146.26,272.01,137.85,576.98,376.02,220.22,359.92,-1,-1,209.51,474.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
194,426.56,8.02,548.66,144.42,269.44,137.93,577.46,371.01,219.51,359.48,-1,-1,209.8,475.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,419.2,7.78,550.36,144.99,270.61,137.6,577.28,374.45,219.84,360.05,-1,-1,212.85,472.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
